0	0.96796
0.00113008	0.962597
0.00263685	0.949188
0.00452031	0.908963
0.00678046	0.836556
0.00828723	0.766831
0.0101707	0.681016
0.0118658	0.60861
0.0131842	0.560339
0.0135609	0.54693
0.0151619	0.526817
0.0154444	0.524135
0.0161036	0.526817
0.0170453	0.540226
0.0179871	0.567043
0.0198705	0.654199
0.0212831	0.727946
0.0225074	0.801694
0.0258034	0.962597
0.0274044	1.00282
0.028817	1.04037
0.0300412	1.06718
0.0316421	1.10339
0.0330547	1.1235
0.0339965	1.1302
0.0349382	1.13423
0.0382343	1.15434
0.0405886	1.16373
0.042472	1.17043
0.0448264	1.19457
0.0476516	1.23479
0.0500059	1.26429
0.0533019	1.30854
0.0549971	1.32865
0.0570689	1.36486
0.0592348	1.4091
0.0608358	1.44263
0.0631901	1.50565
0.0646027	1.54989
0.0653561	1.57671
0.066957	1.64644
0.0686521	1.73091
0.0697822	1.79125
0.0710065	1.88109
0.0721366	1.99506
0.0733608	2.11976
0.0738317	2.17608
0.0747734	2.29005
0.0757151	2.34771
0.0759035	2.35039
0.076186	2.35039
0.0766569	2.33698
0.0771277	2.31016
0.0780695	2.24044
0.0791995	2.12915
0.079482	2.09562
0.0841907	1.65984
0.0848499	1.59012
0.0853208	1.54989
0.0857916	1.50565
0.086545	1.44531
0.0872042	1.3957
0.0876751	1.35547
0.0886168	1.2844
0.0898411	1.21468
0.0907828	1.16373
0.0928546	1.08998
0.0954915	1.04037
0.0978458	1.02025
0.102554	1.00685
0.107734	1.00014
0.159717	1.00014
